431,12,flow,,,,,,,,,,
num,name,east,north,power,magnitude,shape,type,sfi,ohmS,lwi,geol,flow
198,b198,769019,1051498,70,51,V,CP,0.245887967,1211.261954,48.6530769,GRANITES,1.3
199,b199,762364,1058310,40,27,V,NC,0,0,0,GEOSYN. GRANITES,0
200,b200,755132,1062138,40,13,V,EC,0,4528.36,0,GEOSYN. GRANITES,0
201,b201,751669,1063754,48,74,V,CP,0.900333013,1582.859221,24.364918,GRANITES,0.6
202,b202,774964,1080470,68,158,U,NC,1.296362433,767.6625,0.1,GEOSYN. GRANITES,1
203,b203,743108,1064444,70,104,W,EC,0.903328914,1272.6625,10.465,GEOSYN. GRANITES,0.9
204,b204,742109,1056386,60,58,V,CP,0,0,2.9424084,GEOSYN. GRANITES,0
205,b205,759426,1048897,60,73,C,CP,0.500867305,767.6625,0.1,GRANITES,1
206,b206,755421,1041415,80,128,V,CP,1.077496044,952.3883064,28.34193548,GRANITES,1
207,b207,744474,1085027,40,17,V,CP,0,0,0.6011834,GRANITES,0
208,b208,792785,1085230,50,112,V,CP,0.942809016,2056.7625,29.8,VOLCANO-SEDIM. SCHISTS,1
209,b209,788410,1068940,60,23,V,NC,0.529481558,4727.422,16.5175912,VOLCANO-SEDIM. SCHISTS,0.3
210,b210,789971,1061197,30,46,V,CP,0,0,0,VOLCANO-SEDIM. SCHISTS,0
211,b211,766015,1051626,136,408,V,CP,0.913016267,1220.24489,3.0920619,VOLCANO-SEDIM. SCHISTS,3.9
212,b212,776950,1055432,124,151,V,NC,0.371517721,767.6625,0.26,GNEISS-MIGMATITES,2.6
213,b213,774807,1081364,70,63,W,EC,0.348566427,1492.467516,11.6768966,GRANITES,1.1
214,b214,776908,1081379,110,114,V,NC,0.269142535,1216.387336,1.3163444,GEOSYN. GRANITES,3.1
215,b215,757397,1037998,160,549,V,NC,1.126289842,1101.562709,10.6670391,GEOSYN. GRANITES,4
216,b216,769417,1037633,60,25,U,NC,0.044659376,767.5625,,GEOSYN. GRANITES,1
217,b217,777166,1046337,100,76,V,CP,0.205060977,1222.389087,41.4857143,GEOSYN. GRANITES,2.4
218,b218,767101,1046564,60,100,V,CP,0.521347918,1452.257938,37.4576471,GRANITES,1.4
219,b219,764835,1048486,50,41,C,CP,0,0,0,GRANITES,0
220,b220,761398,1046077,100,305,V,NC,1.251079869,940.9935852,9.716087,GRANITES,1.9
221,b221,759393,1053668,40,57,V,CB2P,0.888279005,2549.644642,2.8828571,GEOSYN. GRANITES,0.4
222,b222,755196,1052596,90,214,V,NC,0.957893987,1734.475,1.36,VOLCANO-SEDIM. SCHISTS,1.6
223,b223,762777,1063681,150,337,V,CB2P,0.665512268,856.5818548,47.3677419,GNEISS-MIGMATITES,4
224,b224,770716,1066123,80,26,V,CP,0,0,0,GRANITES,0
225,b225,769183,1070586,130,199,C,CP,0.322891413,892.6128585,4.7664865,GRANITES,2.8
226,b226,770141,1083417,90,186,C,CP,0.656599169,1239.988774,15.8335294,GEOSYN. GRANITES,1.5
227,b227,760401,1059937,220,122,V,CP,0.141421321,804.9064727,22.9679245,GRANITES,6
228,b228,764955,1052811,80,105,C,NC,0.05006069,1361.695058,31.444186,GEOSYN. GRANITES,1
